1416423234;2057;foo;3916;243;781;2849;169;51;189;3;7,94;90;327;92;6
1416423580;2057;foo;3916;243;781;2849;169;51;189;3;7,94;90;327;92;6
1416427276;2060;foo;3916;243;781;2866;167;51;190;3;7,95;90;327;92;6
1416430611;2060;foo;3916;243;781;2866;166;51;190;3;7,95;90;327;92;6
1416506877;2060;foo;3916;243;781;2866;166;51;190;3;7,95;90;327;92;6
1416507433;2060;foo;3916;243;781;2866;166;51;190;3;7,95;90;327;92;6
1416508599;2060;foo;3916;243;781;2866;166;51;190;3;7,95;90;327;92;6
1416669027;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1416675087;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1416691231;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1416694689;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1416747462;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1416771954;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1416864791;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1416907543;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1416951472;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1417040024;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1417092150;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1417106913;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1417437393;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1417464756;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1417470169;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1417514547;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1417518800;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1417527850;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1417535387;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1417549690;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1417558071;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo;foo
1437060223;2061;foo;4162;249;846;264;18;22;39;4;9,52;91;329;93;6
1437061285;2061;foo;4162;249;846;264;18;22;39;4;9,52;91;329;93;6
1437067134;2061;foo;4162;249;846;264;31;22;39;4;9,46;91;329;93;6
1437067616;2061;foo;4162;249;846;264;31;22;39;4;9,46;91;329;93;6
1437067911;2061;foo;4162;249;846;264;31;22;39;4;9,46;91;329;93;6
1437073128;2061;foo;4162;249;846;263;31;21;39;4;9,46;91;329;93;6
1437073660;2061;foo;4162;249;846;263;31;21;39;4;9,46;91;329;93;6
